epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.381,0.71813,1.03675,0.97501,0.75572,0.77761,0.81242,0.6902,0.56754,0.5964,0.86157,0.0033325,0.0033325,0.0033325
2,1522.99,0.70306,0.73722,0.95714,0.74543,0.822,0.83648,0.70601,0.59646,0.5921,0.87956,0.00653385,0.00653385,0.00653385
3,2267.59,0.76149,0.78342,0.98225,0.74119,0.8187,0.84428,0.70604,0.61458,0.61627,0.8849,0.0096032,0.0096032,0.0096032
4,3005.28,0.76703,0.77937,0.98641,0.77015,0.83268,0.86303,0.74479,0.56599,0.55516,0.86686,0.009406,0.009406,0.009406
5,3739.45,0.71466,0.71642,0.96561,0.7656,0.83561,0.8821,0.77997,0.52834,0.52414,0.8544,0.009208,0.009208,0.009208
6,4473.84,0.68022,0.67896,0.95178,0.77332,0.85258,0.88266,0.78072,0.50411,0.49662,0.84547,0.00901,0.00901,0.00901
7,5207.43,0.65603,0.6538,0.94292,0.80391,0.81579,0.88609,0.79003,0.48893,0.48434,0.84076,0.008812,0.008812,0.008812
8,5941.25,0.63975,0.63481,0.93528,0.79199,0.86418,0.88716,0.79398,0.4725,0.47113,0.83373,0.008614,0.008614,0.008614
9,6676.19,0.62733,0.62224,0.9304,0.81153,0.85219,0.88944,0.80159,0.46238,0.46792,0.83115,0.008416,0.008416,0.008416
10,7409.28,0.61525,0.61221,0.92652,0.79476,0.85762,0.89259,0.80714,0.45448,0.45974,0.82889,0.008218,0.008218,0.008218
11,8143.47,0.60723,0.60181,0.92313,0.8071,0.86212,0.89677,0.81139,0.45003,0.45191,0.8273,0.00802,0.00802,0.00802
12,8877.77,0.59704,0.59242,0.918,0.80649,0.86467,0.90027,0.81572,0.44402,0.44904,0.82446,0.007822,0.007822,0.007822
13,9628.49,0.59195,0.5844,0.91641,0.83495,0.83318,0.89815,0.81381,0.43998,0.44686,0.82294,0.007624,0.007624,0.007624
14,10375.3,0.58351,0.57707,0.9133,0.81166,0.86308,0.89692,0.81432,0.43667,0.44461,0.82215,0.007426,0.007426,0.007426
15,11108.7,0.57803,0.57136,0.91158,0.82594,0.8529,0.89658,0.8149,0.43391,0.44256,0.82161,0.007228,0.007228,0.007228
16,11845.9,0.5735,0.56793,0.9099,0.82716,0.85165,0.89632,0.81625,0.43234,0.44072,0.82118,0.00703,0.00703,0.00703
17,12581.9,0.56607,0.5617,0.90732,0.83423,0.84813,0.89653,0.81672,0.4301,0.43898,0.82042,0.006832,0.006832,0.006832
18,13317.9,0.56254,0.55782,0.90688,0.83404,0.84461,0.89764,0.81874,0.42829,0.43759,0.81988,0.006634,0.006634,0.006634
19,14053.3,0.55795,0.55164,0.90509,0.83205,0.84749,0.899,0.82073,0.42702,0.43632,0.81962,0.006436,0.006436,0.006436
20,14788.2,0.55347,0.54706,0.90313,0.83003,0.84867,0.90064,0.82235,0.42582,0.43487,0.81913,0.006238,0.006238,0.006238
21,15522,0.5498,0.54437,0.90098,0.82877,0.84851,0.90132,0.82419,0.42459,0.43349,0.81885,0.00604,0.00604,0.00604
22,16257.2,0.54563,0.54008,0.90041,0.83581,0.83919,0.90171,0.82517,0.4228,0.43218,0.81816,0.005842,0.005842,0.005842
23,16991.7,0.54183,0.5374,0.8992,0.84142,0.83625,0.90193,0.82515,0.42115,0.43095,0.81764,0.005644,0.005644,0.005644
24,17726.7,0.53816,0.53338,0.89636,0.84443,0.83609,0.90226,0.82428,0.41954,0.42914,0.81689,0.005446,0.005446,0.005446
25,18461.4,0.53293,0.52883,0.89536,0.8436,0.83705,0.90269,0.82425,0.41809,0.4272,0.81623,0.005248,0.005248,0.005248
26,19196.1,0.52958,0.52372,0.89375,0.84255,0.83681,0.90266,0.82583,0.41672,0.42602,0.81586,0.00505,0.00505,0.00505
27,19932.3,0.52697,0.51985,0.89314,0.84332,0.83764,0.90304,0.8265,0.41558,0.42471,0.81559,0.004852,0.004852,0.004852
28,20672.2,0.52092,0.51614,0.89011,0.84107,0.83849,0.90384,0.82785,0.41408,0.42368,0.81507,0.004654,0.004654,0.004654
29,21407.6,0.51597,0.51193,0.889,0.84415,0.83759,0.9039,0.82802,0.41258,0.42232,0.81455,0.004456,0.004456,0.004456
30,22141.1,0.51435,0.50841,0.88885,0.84413,0.83894,0.90431,0.829,0.41127,0.42061,0.81412,0.004258,0.004258,0.004258
31,22873.8,0.50933,0.50439,0.88745,0.8397,0.8421,0.90462,0.82932,0.4104,0.41884,0.81379,0.00406,0.00406,0.00406
32,23606.3,0.50786,0.50046,0.88681,0.83788,0.84449,0.90563,0.83079,0.40889,0.4171,0.81325,0.003862,0.003862,0.003862
33,24338.9,0.50474,0.49814,0.88585,0.83263,0.84798,0.9056,0.83137,0.40769,0.41526,0.81296,0.003664,0.003664,0.003664
34,25071.6,0.49794,0.49313,0.88288,0.83364,0.84885,0.90616,0.83145,0.40651,0.4132,0.81261,0.003466,0.003466,0.003466
35,25806.1,0.49345,0.48948,0.88185,0.83701,0.84783,0.90648,0.83289,0.40522,0.41119,0.8122,0.003268,0.003268,0.003268
36,26541.6,0.49064,0.48469,0.87987,0.8312,0.86077,0.9069,0.83384,0.40383,0.40933,0.81168,0.00307,0.00307,0.00307
37,27277.3,0.48607,0.47965,0.87864,0.83802,0.85341,0.90672,0.83403,0.40264,0.40749,0.81118,0.002872,0.002872,0.002872
38,28017.7,0.48231,0.47333,0.8776,0.83214,0.85977,0.90787,0.8351,0.40149,0.40514,0.81086,0.002674,0.002674,0.002674
39,28763.1,0.47926,0.4717,0.8766,0.831,0.85947,0.90733,0.83512,0.40035,0.40309,0.81039,0.002476,0.002476,0.002476
40,29499.7,0.47421,0.46717,0.87542,0.83042,0.861,0.90811,0.83702,0.39921,0.40122,0.81002,0.002278,0.002278,0.002278
41,30250.2,0.42431,0.41929,0.8412,0.83224,0.86131,0.90944,0.83756,0.39797,0.39958,0.80961,0.00208,0.00208,0.00208
42,30982.6,0.41801,0.41338,0.83822,0.82645,0.86287,0.90964,0.83789,0.39726,0.39767,0.80947,0.001882,0.001882,0.001882
43,31711.6,0.4125,0.40662,0.83712,0.83375,0.85926,0.90908,0.83814,0.39645,0.39613,0.80908,0.001684,0.001684,0.001684
44,32441.2,0.40521,0.40057,0.83477,0.83159,0.86502,0.90963,0.83848,0.39586,0.39458,0.80899,0.001486,0.001486,0.001486
45,33170,0.40007,0.39266,0.8332,0.83845,0.86055,0.91026,0.83904,0.39505,0.39301,0.80869,0.001288,0.001288,0.001288
46,33902.5,0.39358,0.38639,0.83155,0.83626,0.86024,0.91007,0.83972,0.3944,0.39203,0.80848,0.00109,0.00109,0.00109
47,34642.6,0.38676,0.379,0.8281,0.8325,0.86498,0.91049,0.83982,0.39392,0.39065,0.80838,0.000892,0.000892,0.000892
48,35377.1,0.382,0.3731,0.82685,0.83443,0.8622,0.91092,0.84071,0.39345,0.38958,0.80829,0.000694,0.000694,0.000694
49,36107.5,0.37672,0.36705,0.82563,0.83273,0.86559,0.91122,0.84099,0.39307,0.3886,0.80825,0.000496,0.000496,0.000496
50,36837.6,0.37077,0.35951,0.82477,0.82951,0.86628,0.91191,0.84141,0.3927,0.38786,0.80818,0.000298,0.000298,0.000298
